index,walk_10min,walk_15min,car_10min,car_15min,car_20min,car_30min,transit_10min,transit_15min,transit_20min,transit_30min
809,,13.4,2.7,2.7,2.7,2.7,,13.4,13.4,13.4
810,,13.3,2.4,2.4,2.4,2.4,,13.3,13.3,13.3
811,9.6,9.6,2.0,2.0,2.0,2.0,9.6,9.6,9.6,9.6
812,6.2,6.2,2.2,2.2,2.2,2.2,6.2,6.2,6.2,6.2
813,3.5,3.5,1.2,1.2,1.2,1.2,3.5,3.5,3.5,3.5
814,3.2,3.2,0.8,0.8,0.8,0.8,3.2,3.2,3.2,3.2
815,6.0,6.0,1.6,1.6,1.6,1.6,6.0,6.0,6.0,6.0
816,9.0,9.0,2.2,2.2,2.2,2.2,9.0,9.0,9.0,9.0
817,5.9,5.9,1.5,1.5,1.5,1.5,5.9,5.9,5.9,5.9
818,4.5,4.5,1.9,1.9,1.9,1.9,4.5,4.5,4.5,4.5
819,6.6,6.6,0.8,0.8,0.8,0.8,6.6,6.6,6.6,6.6
820,9.8,9.8,1.3,1.3,1.3,1.3,9.8,9.8,9.8,9.8
821,,12.3,2.2,2.2,2.2,2.2,,12.3,12.3,12.3
823,8.0,8.0,1.7,1.7,1.7,1.7,8.0,8.0,8.0,8.0
824,9.4,9.4,1.6,1.6,1.6,1.6,9.4,9.4,9.4,9.4
825,,12.2,2.1,2.1,2.1,2.1,,12.2,12.2,12.2
826,,10.4,2.0,2.0,2.0,2.0,,10.4,10.4,10.4
827,,13.2,1.8,1.8,1.8,1.8,,13.2,13.2,13.2
839,,,3.2,3.2,3.2,3.2,,,,22.3
841,,,2.5,2.5,2.5,2.5,,,16.6,16.6
842,,14.1,2.4,2.4,2.4,2.4,,14.1,14.1,14.1
843,,10.4,1.8,1.8,1.8,1.8,,10.4,10.4,10.4
844,8.6,8.6,1.6,1.6,1.6,1.6,8.6,8.6,8.6,8.6
845,8.5,8.5,1.8,1.8,1.8,1.8,8.5,8.5,8.5,8.5
846,,11.3,2.4,2.4,2.4,2.4,,11.3,11.3,11.3
847,,11.8,2.9,2.9,2.9,2.9,,11.8,11.8,11.8
848,,13.3,3.0,3.0,3.0,3.0,,13.3,13.3,13.3
849,,10.6,1.9,1.9,1.9,1.9,,10.6,10.6,10.6
850,7.7,7.7,2.2,2.2,2.2,2.2,7.7,7.7,7.7,7.7
851,6.0,6.0,1.1,1.1,1.1,1.1,6.0,6.0,6.0,6.0
